"pays","code_iso3","annee","transferts_usd","transferts_millions_usd","part_pib_pct"
"Cote d'Ivoire","CIV","2000","119317177","119.3","0.72"
"Cote d'Ivoire","CIV","2001","116004822","116.0","0.69"
"Cote d'Ivoire","CIV","2002","120092422","120.1","0.67"
"Cote d'Ivoire","CIV","2003","141603500","141.6","0.67"
"Cote d'Ivoire","CIV","2004","159198212","159.2","0.68"
"Cote d'Ivoire","CIV","2005","163238757","163.2","0.68"
"Cote d'Ivoire","CIV","2006","166909883","166.9","0.66"
"Cote d'Ivoire","CIV","2007","184936825","184.9","0.64"
"Cote d'Ivoire","CIV","2008","199721402","199.7","0.59"
"Cote d'Ivoire","CIV","2009","316346324","316.3","0.93"
"Cote d'Ivoire","CIV","2010","373841959","373.8","1.07"
"Cote d'Ivoire","CIV","2011","397123339","397.1","1.08"
"Cote d'Ivoire","CIV","2012","367086167","367.1","1.01"
"Cote d'Ivoire","CIV","2013","384778636","384.8","0.90"
"Cote d'Ivoire","CIV","2014","387214302","387.2","0.79"
"Cote d'Ivoire","CIV","2015","336382062","336.4","0.73"
"Cote d'Ivoire","CIV","2016","342435061","342.4","0.71"
"Cote d'Ivoire","CIV","2017","307645128","307.6","0.59"
"Cote d'Ivoire","CIV","2018","332046730","332.0","0.57"
"Cote d'Ivoire","CIV","2019","328290412","328.3","0.54"
"Cote d'Ivoire","CIV","2020","329147636","329.1","0.52"
"Cote d'Ivoire","CIV","2021","440194175","440.2","0.60"
"Cote d'Ivoire","CIV","2022","1041929444","1041.9","1.47"
"Cote d'Ivoire","CIV","2023","1311092417","1311.1","1.62"
"Cote d'Ivoire","CIV","2024","1770769897","1770.8","2.03"
"Cote d'Ivoire","CIV","2025",,,
"Cameroon","CMR","2000","22100034","22.1","0.21"
"Cameroon","CMR","2001","16831585","16.8","0.15"
"Cameroon","CMR","2002","29456453","29.5","0.24"
"Cameroon","CMR","2003","75414619","75.4","0.47"
"Cameroon","CMR","2004","103389306","103.4","0.55"
"Cameroon","CMR","2005","77019167","77.0","0.39"
"Cameroon","CMR","2006","130058705","130.1","0.62"
"Cameroon","CMR","2007","167560280","167.6","0.70"
"Cameroon","CMR","2008","162670388","162.7","0.59"
"Cameroon","CMR","2009","185112093","185.1","0.66"
"Cameroon","CMR","2010","114971018","115.0","0.42"
"Cameroon","CMR","2011","219542285","219.5","0.72"
"Cameroon","CMR","2012","210407730","210.4","0.70"
"Cameroon","CMR","2013","244128552","244.1","0.72"
"Cameroon","CMR","2014","283337566","283.3","0.78"
"Cameroon","CMR","2015","241706990","241.7","0.75"
"Cameroon","CMR","2016","268951585","269.0","0.80"
"Cameroon","CMR","2017","316800671","316.8","0.88"
"Cameroon","CMR","2018","333554498","333.6","0.83"
"Cameroon","CMR","2019","355550646","355.6","0.90"
"Cameroon","CMR","2020","334097289","334.1","0.82"
"Cameroon","CMR","2021","430097112","430.1","0.96"
"Cameroon","CMR","2022","562660764","562.7","1.27"
"Cameroon","CMR","2023","786560478","786.6","1.61"
"Cameroon","CMR","2024","690153001","690.2","1.29"
"Cameroon","CMR","2025",,,
"Dominican Republic","DOM","2000","1838800000","1838.8","7.57"
"Dominican Republic","DOM","2001","1981800000","1981.8","7.74"
"Dominican Republic","DOM","2002","2194300000","2194.3","8.09"
"Dominican Republic","DOM","2003","2325400000","2325.4","10.86"
"Dominican Republic","DOM","2004","2501200000","2501.2","11.20"
"Dominican Republic","DOM","2005","2719200000","2719.2","7.60"
"Dominican Republic","DOM","2006","3053800000","3053.8","8.06"
"Dominican Republic","DOM","2007","3397000000","3397","7.73"
"Dominican Republic","DOM","2008","3605500000","3605.5","7.50"
"Dominican Republic","DOM","2009","3414700000","3414.7","7.08"
"Dominican Republic","DOM","2010","3887000000","3887","7.22"
"Dominican Republic","DOM","2011","4240700000","4240.7","7.32"
"Dominican Republic","DOM","2012","4262100000","4262.1","7.04"
"Dominican Republic","DOM","2013","4485500000","4485.5","7.17"
"Dominican Republic","DOM","2014","4810400000","4810.4","7.18"
"Dominican Republic","DOM","2015","5196200000","5196.2","7.32"
"Dominican Republic","DOM","2016","5508400000","5508.4","7.29"
"Dominican Republic","DOM","2017","6177800000","6177.8","7.81"
"Dominican Republic","DOM","2018","6817700000","6817.7","8.02"
"Dominican Republic","DOM","2019","7420600000","7420.6","8.32"
"Dominican Republic","DOM","2020","8331600000","8331.6","10.61"
"Dominican Republic","DOM","2021","10742800000","10742.8","11.33"
"Dominican Republic","DOM","2022","10278100000","10278.1","9.06"
"Dominican Republic","DOM","2023","10619200000","10619.2","8.82"
"Dominican Republic","DOM","2024","11247000000","11247","9.05"
"Dominican Republic","DOM","2025",,,
"Haiti","HTI","2000","578000000","578","8.48"
"Haiti","HTI","2001","623580000","623.6","9.85"
"Haiti","HTI","2002","675660000","675.7","10.89"
"Haiti","HTI","2003","811000000","811","15.99"
"Haiti","HTI","2004","931540000","931.5","15.30"
"Haiti","HTI","2005","986154000","986.2","14.03"
"Haiti","HTI","2006","1062869000","1062.9","13.91"
"Haiti","HTI","2007","1222089000","1222.1","13.24"
"Haiti","HTI","2008","1369753973","1369.8","13.13"
"Haiti","HTI","2009","1375546872","1375.5","11.86"
"Haiti","HTI","2010","1473804721","1473.8","12.43"
"Haiti","HTI","2011","1551366394","1551.4","11.93"
"Haiti","HTI","2012","1612326050","1612.3","11.76"
"Haiti","HTI","2013","1780995274","1781.0","11.95"
"Haiti","HTI","2014","1977033926","1977.0","13.05"
"Haiti","HTI","2015","2195560227","2195.6","14.79"
"Haiti","HTI","2016","2227109372","2227.1","15.83"
"Haiti","HTI","2017","2419165424","2419.2","16.03"
"Haiti","HTI","2018","2735177967","2735.2","16.67"
"Haiti","HTI","2019","2695149514","2695.1","17.95"
"Haiti","HTI","2020","3257277840","3257.3","22.45"
"Haiti","HTI","2021","3994393883","3994.4","19.07"
"Haiti","HTI","2022","3797752749","3797.8","18.75"
"Haiti","HTI","2023","3753251985","3753.3","18.91"
"Haiti","HTI","2024","4111002566","4111.0","16.30"
"Haiti","HTI","2025",,,
"Jamaica","JAM","2000","877700000","877.7","9.75"
"Jamaica","JAM","2001","1046600000","1046.6","11.38"
"Jamaica","JAM","2002","1241600000","1241.6","12.77"
"Jamaica","JAM","2003","1379600000","1379.6","14.63"
"Jamaica","JAM","2004","1601198135","1601.2","15.74"
"Jamaica","JAM","2005","1761628767","1761.6","15.67"
"Jamaica","JAM","2006","1923735274","1923.7","16.12"
"Jamaica","JAM","2007","2122091021","2122.1","16.58"
"Jamaica","JAM","2008","2156589500","2156.6","15.73"
"Jamaica","JAM","2009","1889494349","1889.5","15.59"
"Jamaica","JAM","2010","2026445825","2026.4","15.33"
"Jamaica","JAM","2011","2105606761","2105.6","14.58"
"Jamaica","JAM","2012","2168136683","2168.1","14.64"
"Jamaica","JAM","2013","2171887541","2171.9","15.23"
"Jamaica","JAM","2014","2268785014","2268.8","16.32"
"Jamaica","JAM","2015","2361233874","2361.2","15.78"
"Jamaica","JAM","2016","2433422796","2433.4","16.33"
"Jamaica","JAM","2017","2462677565","2462.7","15.60"
"Jamaica","JAM","2018","2501614919","2501.6","14.84"
"Jamaica","JAM","2019","2562542095","2562.5","15.05"
"Jamaica","JAM","2020","3066873500","3066.9","20.45"
"Jamaica","JAM","2021","3706698183","3706.7","23.22"
"Jamaica","JAM","2022","3687554909","3687.6","19.60"
"Jamaica","JAM","2023","3600799950","3600.8","16.81"
"Jamaica","JAM","2024","3564377716","3564.4","16.19"
"Jamaica","JAM","2025",,,
"Mali","MLI","2000","73163955","73.2","2.08"
"Mali","MLI","2001","88167265","88.2","2.14"
"Mali","MLI","2002","137653693","137.7","2.96"
"Mali","MLI","2003","153798953","153.8","2.74"
"Mali","MLI","2004","155463490","155.5","2.40"
"Mali","MLI","2005","177256553","177.3","2.39"
"Mali","MLI","2006","212030181","212.0","2.58"
"Mali","MLI","2007","344376072","344.4","3.55"
"Mali","MLI","2008","432735386","432.7","3.78"
"Mali","MLI","2009","455566651","455.6","3.75"
"Mali","MLI","2010","473206781","473.2","3.72"
"Mali","MLI","2011","785135446","785.1","5.08"
"Mali","MLI","2012","827417012","827.4","5.59"
"Mali","MLI","2013","894763366","894.8","5.68"
"Mali","MLI","2014","921490604","921.5","5.39"
"Mali","MLI","2015","816930233","816.9","5.24"
"Mali","MLI","2016","827242533","827.2","4.94"
"Mali","MLI","2017","885444663","885.4","4.84"
"Mali","MLI","2018","1022573592","1022.6","5.02"
"Mali","MLI","2019","971700936","971.7","4.75"
"Mali","MLI","2020","997137084","997.1","4.82"
"Mali","MLI","2021","1131458580","1131.5","4.92"
"Mali","MLI","2022","1106994888","1107.0","4.91"
"Mali","MLI","2023","1045130737","1045.1","4.21"
"Mali","MLI","2024","1068935477","1068.9","3.99"
"Mali","MLI","2025",,,
"Senegal","SEN","2000","234066647","234.1","3.89"
"Senegal","SEN","2001","304944980","304.9","4.69"
"Senegal","SEN","2002","346122851","346.1","4.94"
"Senegal","SEN","2003","512080217","512.1","5.84"
"Senegal","SEN","2004","634031645","634.0","6.29"
"Senegal","SEN","2005","789138740","789.1","7.17"
"Senegal","SEN","2006","926064835","926.1","7.92"
"Senegal","SEN","2007","1193376016","1193.4","8.53"
"Senegal","SEN","2008","1482085064","1482.1","8.79"
"Senegal","SEN","2009","1355834397","1355.8","8.40"
"Senegal","SEN","2010","1479119820","1479.1","9.17"
"Senegal","SEN","2011","1616025933","1616.0","9.07"
"Senegal","SEN","2012","1576225069","1576.2","8.92"
"Senegal","SEN","2013","1777897284","1777.9","9.40"
"Senegal","SEN","2014","1931624793","1931.6","9.76"
"Senegal","SEN","2015","1757754462","1757.8","9.89"
"Senegal","SEN","2016","1980581470","1980.6","10.40"
"Senegal","SEN","2017","2148911385","2148.9","10.23"
"Senegal","SEN","2018","2427531906","2427.5","10.50"
"Senegal","SEN","2019","2525650779","2525.7","10.79"
"Senegal","SEN","2020","2607382543","2607.4","10.63"
"Senegal","SEN","2021","3096612365","3096.6","11.25"
"Senegal","SEN","2022","2910590307","2910.6","10.48"
