cle,texte_fr,fr_singulier,emplacement,zone,utilisation,type,fragment_ou_phrase,variables,pluriel,elision,visible,aria,impression,export,ht,ht_singulier,en,en_singulier,es,es_singulier,action_requise
Accès Campus pour un mémoire,Accès Campus pour un mémoire,,jour() L190,jour,visible,phrase,phrase,,,,oui,,,,Aksè Campus pou yon memwa,Aksè Campus pou yon memwa,Campus access for a thesis,Campus access for a thesis,Acceso Campus para una tesina,Acceso Campus para una tesina,relecture kreyòl
Agrégat Atmart,Agrégat Atmart,,valeurBrute() L866,valeurBrute,visible,libelle,phrase,,,,oui,,,,Chif ansanm Atmart,Chif ansanm Atmart,Atmart aggregate,Atmart aggregate,Agregado Atmart,Agregado Atmart,relecture kreyòl
Agrégat sur {n} communes,Agrégat sur {n} communes,Agrégat sur {n} commune,agregat() L776,agregat,visible+impression,phrase,phrase,n,oui,,oui,,oui,,Chif ansanm sou {n} komin,Chif ansanm sou {n} komin,Aggregate over {n} communes,Aggregate over {n} commune,Agregado sobre {n} comunas,Agregado sobre {n} comuna,relecture kreyòl
Ajouter à la comparaison,Ajouter à la comparaison,,blocResume() L396,fiche,visible+impression,phrase,phrase,,,,oui,,oui,,Mete nan konparezon an,Mete nan konparezon an,Add to comparison,Add to comparison,Añadir a la comparación,Añadir a la comparación,relecture kreyòl
"Ajoutez au moins deux territoires. Depuis une fiche, le bouton « Ajouter à la comparaison » ; ou cherchez un territoire dans la barre ci-dessus puis ajoutez-le. Jusqu'à {max} territoires, communes et départements mélangés.","Ajoutez au moins deux territoires. Depuis une fiche, le bouton « Ajouter à la comparaison » ; ou cherchez un territoire dans la barre ci-dessus puis ajoutez-le. Jusqu'à {max} territoires, communes et départements mélangés.",,rendreComparaison() L920,comparaison,visible+aria+impression,phrase,phrase,max,,,oui,oui,oui,,"Mete omwen de teritwa. Depi nan yon fich, klike bouton « Mete nan konparezon an » ; oswa chèche yon teritwa nan bar anwo a epi mete l. Ou ka mete jiska {max} teritwa, komin ak depatman melanje.","Mete omwen de teritwa. Depi nan yon fich, klike bouton « Mete nan konparezon an » ; oswa chèche yon teritwa nan bar anwo a epi mete l. Ou ka mete jiska {max} teritwa, komin ak depatman melanje.","Add at least two territories. From a profile, use the “Add to comparison” button; or search for a territory in the bar above and add it. Up to {max} territories, communes and departments mixed.","Add at least two territories. From a profile, use the “Add to comparison” button; or search for a territory in the bar above and add it. Up to {max} territories, communes and departments mixed.","Añada al menos dos territorios. Desde una ficha, use el botón «Añadir a la comparación»; o busque un territorio en la barra de arriba y añádalo. Hasta {max} territorios, comunas y departamentos mezclados.","Añada al menos dos territorios. Desde una ficha, use el botón «Añadir a la comparación»; o busque un territorio en la barra de arriba y añádalo. Hasta {max} territorios, comunas y departamentos mezclados.",relecture kreyòl
Ajouté à la comparaison ✓,Ajouté à la comparaison ✓,,pret() L1216,chrome,visible,phrase,phrase,,,,oui,,,,Mete nan konparezon an ✓,Mete nan konparezon an ✓,Added to comparison ✓,Added to comparison ✓,Añadido a la comparación ✓,Añadido a la comparación ✓,relecture kreyòl
Aller plus bas que la commune,Aller plus bas que la commune,,blocVerrou() L701,fiche,visible,phrase,phrase,,,,oui,,,,Desann pi ba pase komin nan,Desann pi ba pase komin nan,Go below the commune,Go below the commune,Bajar por debajo de la comuna,Bajar por debajo de la comuna,relecture kreyòl
Arrondissement,Arrondissement,,jour() L143,niveaux,visible,vocabulaire,phrase,,,,oui,,,,Awondisman,Awondisman,Arrondissement,Arrondissement,Distrito,Distrito,relecture kreyòl
Aucun résultat exact. {n} suggestions proches.,Aucun résultat exact. {n} suggestions proches.,Aucun résultat exact. {n} suggestion proche.,afficherResultats() L290,recherche,visible+aria,phrase,phrase,n,oui,,oui,oui,,,Nou pa jwenn egzakteman sa w mande a. Men {n} ki pre.,Nou pa jwenn egzakteman sa w mande a. Men {n} ki pre.,No exact match. {n} close suggestions.,No exact match. {n} close suggestion.,Sin coincidencia exacta. {n} sugerencias cercanas.,Sin coincidencia exacta. {n} sugerencia cercana.,relecture kreyòl
Aucun résultat.,Aucun résultat.,,afficherResultats() L292,recherche,visible+aria,libelle,phrase,,,,oui,oui,,,Nou pa jwenn anyen.,Nou pa jwenn anyen.,No results.,No results.,Sin resultados.,Sin resultados.,relecture kreyòl
Aucun territoire ne correspond à « {q} ».,Aucun territoire ne correspond à « {q} ».,,afficherResultats() L283,recherche,visible+aria,phrase,phrase,q,,,oui,oui,,,Nou pa jwenn okenn teritwa ki rele « {q} ».,Nou pa jwenn okenn teritwa ki rele « {q} ».,No territory matches “{q}”.,No territory matches “{q}”.,Ningún territorio coincide con «{q}».,Ningún territorio coincide con «{q}».,relecture kreyòl
Aucun territoire sélectionné.,Aucun territoire sélectionné.,,rendreComparaison() L917,comparaison,visible+aria+impression,phrase,phrase,,,,oui,oui,oui,,Ou poko chwazi okenn teritwa.,Ou poko chwazi okenn teritwa.,No territory selected.,No territory selected.,Ningún territorio seleccionado.,Ningún territorio seleccionado.,relecture kreyòl
Aucune lacune connue.,Aucune lacune connue.,,blocLacunes() L593,fiche,visible+impression,phrase,phrase,,,,oui,,oui,,Nou pa konnen okenn twou.,Nou pa konnen okenn twou.,No known gaps.,No known gaps.,No se conocen vacíos.,No se conocen vacíos.,relecture kreyòl
Aucune.,Aucune.,,blocOrganisations() L651,admin,visible,libelle,phrase,,,,oui,,,,Pa gen okenn.,Pa gen okenn.,None.,None.,Ninguna.,Ninguna.,relecture kreyòl
Avant d'intervenir sur {n} : {phrase} Le score de complétude vous dit d'avance sur quoi votre diagnostic reposera — et sur quoi il ne reposera pas.,Avant d'intervenir sur {n} : {phrase} Le score de complétude vous dit d'avance sur quoi votre diagnostic reposera — et sur quoi il ne reposera pas.,,jour() L175,jour,visible,phrase,phrase,n phrase,,,oui,,,,Anvan ou entèvni nan {n} : {phrase} Nòt konplè a fè w konnen davans sou ki baz dyagnostik ou pral kanpe — epi sou ki sa li p ap kanpe.,Anvan ou entèvni nan {n} : {phrase} Nòt konplè a fè w konnen davans sou ki baz dyagnostik ou pral kanpe — epi sou ki sa li p ap kanpe.,Before intervening in {n}: {phrase} The completeness score tells you in advance what your assessment will rest on — and what it will not.,Before intervening in {n}: {phrase} The completeness score tells you in advance what your assessment will rest on — and what it will not.,Antes de intervenir en {n}: {phrase} El índice de completitud le dice de antemano en qué se apoyará su diagnóstico — y en qué no.,Antes de intervenir en {n}: {phrase} El índice de completitud le dice de antemano en qué se apoyará su diagnóstico — y en qué no.,relecture kreyòl
